#SUBMITTED ID	FBID_KEY	ANNOTATION_SYMBOL	NAME	SPECIES_ABBREVIATION	SYMBOL
pav	FBgn0011692	CG1258	pavarotti	Dmel	pav
CG6805	FBgn0034179	CG6805	CG6805	Dmel	CG6805
CG1888	FBgn0033421	CG1888	CG1888	Dmel	CG1888
Orc1	FBgn0022772	CG10667	Origin recognition complex subunit 1	Dmel	Orc1
Map60	FBgn0010342	CG1825	Microtubule-associated protein 60	Dmel	Map60
polo	FBgn0003124	CG12306	polo	Dmel	polo
CG6874	FBgn0036815	CG6874	lethal (3) neo26	Dmel	l(3)neo26
CG9273	FBgn0032906	CG9273	Replication protein A2	Dmel	RPA2
Chrac-14	FBgn0043002	CG13399	Chrac-14	Dmel	Chrac-14
Hel25E	FBgn0014189	CG7269	Helicase at 25E	Dmel	Hel25E
CG11451	FBgn0037025	CG11451	Spc105-related	Dmel	Spc105R
Slbp	FBgn0041186	CG11886	Stem-loop binding protein	Dmel	Slbp
CG8289	FBgn0030854	CG8289	CG8289	Dmel	CG8289
CG5923	FBgn0005696	CG5923	DNA polymerase alpha 73kD	Dmel	DNApol-alpha73
CG10522	FBgn0002466	CG10522	sticky	Dmel	sti
dap	FBgn0010316	CG1772	dacapo	Dmel	dap
Sd - unknown ID
CG1558	FBgn0027259	CG1558	kinetochore Mis12-Ndc80 network component 1	Dmel	Kmn1
CG6743	FBgn0027868	CG6743	Nup107	Dmel	Nup107
RnrS	FBgn0011704	CG8975	Ribonucleoside diphosphate reductase small subunit	Dmel	RnrS
