GENE_SYMBOL	E2F1	E2F2	DP	RBF1	RBF2	RBF12	DIMOVA_CLASS
cdc2c	-1.07	0.1	-0.8	0.66	0.04	1.01	A
pav	-1.58	0.15	-0.79	0.02	-0.15	0.26	A
CG6805	-0.87	0.12	-0.79	-0.29	-0.16	-0.06	A
CG1888	-0.83	0.03	-0.78	-0.13	-0.24	0.42	A
Orc1	-0.9	-0.11	-0.78	1.06	0.21	1.01	A
Map60	-0.87	-0.07	-0.77	0.14	-0.01	0.03	A
polo	-1.17	0.12	-0.76	-0.32	-0.19	0.2	A
CG6874	-1.53	0.22	-0.72	0.79	0.11	1.02	A
CG9273	-1.31	0.13	-0.72	0.88	0.25	0.79	A
Chrac-14	-1.05	0.14	-0.71	1.25	0.41	0.72	A
Hel25E	-0.86	0.05	-0.67	-0.05	-0.18	0.04	A
CG11451	-1.21	0.43	-0.66	0.5	0.32	0.5	A
Slbp	-1.14	0.01	-0.66	0.88	0.14	0.9	A
CG8289	-0.8	-0.06	-0.64	0.6	0.36	0.39	A
CG5923	-2.13	0.32	-0.63	1	0.06	1.4	A
CG10522	-1.55	0.44	-0.62	0.19	-0.02	0.52	A
dap	-0.81	-0.1	-0.62	0.93	0.06	1.08	A
sd	-1.27	0.17	-0.61	0.05	-0.39	0.04	A
CG1558	-0.87	0.08	-0.61	0.52	0.56	0.14	A
CG6743	-1.1	0.32	-0.61	0.72	-0.17	0.12	A
RnrS	-1.05	-0.17	-0.6	0.63	-0.19	1.24	A
DNAprim	-2.05	0.1	-0.65	1.06	0.05	1.17	B
His2Av	-1.08	0.03	-0.59	0.99	0.35	1.02	B
CG9752	-2.73	0.79	-0.59	1.1	0.23	1.46	B
HmgD	-1	0.15	-0.57	0.88	0.46	0.9	B
Mcm3	-1.2	0.39	-0.56	0.73	-0.04	1.26	B
CG6349	-1.31	0.04	-0.54	1.04	0.07	0.65	B
CG15261	-1.33	0.34	-0.53	0.9	0.31	0.79	B
CG11301	-1.17	0.09	-0.5	1.08	0.47	0.95	B
CG13350	-0.95	-0.08	-0.49	0.86	-0.04	1.16	B
CG3183	-1.02	0.36	-0.47	-0.24	-0.32	0.64	B
CG3430	-1.09	0.16	-0.44	0.37	-0.14	1.01	B
RfC40	-0.91	0.34	-0.44	0.8	0.34	0.66	B
Orc5	-0.9	0.14	-0.43	0.33	-0.06	0.86	B
CG3658	-0.85	-0.16	-0.42	0.73	-0.15	0.75	B
CG14549	-0.83	0.29	-0.39	0.97	0.26	0.92	B
CG6768	-1.68	0.6	-0.36	1.19	0.09	1.3	B
CG7003	-1.52	0.02	-0.32	0.1	-0.32	0.82	B
CG2990	-0.98	0.39	-0.3	0.38	-0.19	0.91	B
CG2213	-1.29	1.11	-0.27	0.8	0.62	0.95	B
CG14193	-1.07	0.42	-0.25	0.85	0.4	1.17	B
CG9740	-1.12	0.38	-0.24	1.5	0.56	1.34	B
CG12165	-1.4	0.53	-0.19	0.63	0.07	0.77	B
CG10336	-0.98	-0.15	-0.16	0.89	0.24	1.25	B
SMC2	-0.95	0.33	-0.15	0.88	0.31	0.57	B
CG11788	-1.29	0.39	-0.14	0.86	0.28	0.95	B
CG17286	-1.21	0.52	-0.14	0.89	0.01	1.09	B
CG5949	-0.91	0.07	-0.13	0.68	0.03	0.6	B
CG5602	-1.25	0.38	-0.13	0.91	0.05	1.25	B
Chd3	-0.97	0.04	-0.03	0.14	0	0.86	B
Fen1	-0.89	0.53	-0.03	1.03	0.32	1.03	B
CG17498	-1.22	0.52	-0.03	0.71	0.41	0.73	B
CG7108	-2.61	0.3	0.01	1.22	0.16	2.01	B
CG13690	-1.2	0.23	0.02	0.56	-0.31	1.6	B
CG8142	-0.84	0.67	0.03	0.8	0.28	0.85	B
Rrp1	-0.86	0.6	0.05	0.38	0.01	0.72	B
Orc6	-0.94	0.15	0.07	0.95	0.19	1.3	B
CG10489	-1.57	0.11	0.1	1.08	0.12	1.3	B
CG9576	-1.16	0.67	0.11	0.98	0.16	1.54	B
spel1	-0.87	0.35	0.11	0.19	-0.22	0.92	B
CG2669	-1.2	0.51	0.21	0.78	0.03	1.13	B
RecQ4	-1.92	0.18	0.34	0.04	-0.71	1.03	B
Bub1	-0.84	0.69	0.4	0.6	-0.07	0.75	B
CG17064	-1.17	1.19	-0.02	0.84	0.29	1.47	C
CG14545	-1.79	1.31	0.05	1.03	0.45	1.63	C
CG13914	-1.35	1.24	0.21	1.22	0.55	1.29	C
neb	-0.87	1.25	0.22	0.27	-0.26	1.17	C
CG12936	-1.17	1	0.24	0.98	0.07	1.82	C
CG7341	-0.91	0.8	0.34	0.18	0.28	0.89	C
CG2916	-1.19	1.23	0.74	0.45	0.04	1.15	C
CG7730	-1.04	1.23	0.97	1.05	0.31	1.53	C
CG11177	-1.43	1.39	1.01	1.57	0.4	1.69	C
CG13745	-1.13	1.71	1.05	0.77	-0.62	1.78	C
CG9938	-0.52	1.45	-0.01	0.4	-0.06	1.74	C
CG5250	-1.01	3.81	0.02	0.06	-0.27	4.25	C
CG15700	-0.29	1	0.04	1.06	1.14	0.88	C
CG14434	-0.7	0.8	0.16	0.92	0.51	1.32	C
CG9114	-0.6	0.9	0.33	0.08	-0.23	0.91	C
CG3163	0.31	0.85	0.43	0.14	0.09	1.14	C
vas	-0.12	2.35	0.51	0.8	-0.07	2.76	C
CG6999	-0.03	0.99	0.53	0.36	0.42	0.82	C
CG2543	0.44	1.35	0.6	0.24	0.45	1.16	C
CG11329	-0.4	0.94	0.76	0.74	0.36	1.07	C
CG8447	-0.53	2.22	0.81	0.38	0.22	2.54	C
CG13084	-0.12	1.11	0.81	0.06	0.01	1.05	C
CG8399	0.17	0.84	0.84	1.15	0.25	1.39	C
CG8316	-0.29	2.69	0.91	0.24	0.25	2.91	C
CG9427	-0.05	3.82	1.27	0.65	0.16	2.63	C
CG9475	0.18	1.06	0.71	0.04	0.17	0.93	C
CG9184	0.54	1.84	0.73	0.29	0.08	0.94	C
CG4015	-0.04	1.08	0.84	0.7	0.5	1.03	C
spn-E	0.03	0.8	0.85	0.39	-0.01	1.1	C
CG14036	-0.65	1.36	0.91	0.98	0.52	1.18	C
NtR	0.67	1.38	1.02	0.02	0.21	1.01	C
CG10519	-0.38	0.97	1.02	0.35	0.5	0.76	C
CG10331	-0.47	2.33	1.03	0.39	0.16	2.28	C
CG4623	0.67	2.07	1.05	0.91	0.94	1.38	C
CG14039	0	3.1	1.17	-0.19	-0.79	3.48	C
CG6845	0.17	0.93	1.25	0.51	0.27	1.03	C
CG6790	-0.21	1.8	1.33	0.51	0.54	1.96	C
CG2887	0.32	2.68	1.91	0.24	1.09	3.1	C
CG7997	0.27	2.23	1.93	0.42	0.39	1.94	C
CG10307	1.14	3.24	2.11	0.69	0.74	3.65	C
CG10833	1.45	1.65	2.24	0.76	0.57	1.35	C
CG12767	0.68	1.71	1.43	1.08	0.31	1.86	C
Arp53D	-0.31	4.77	3.17	-0.29	0.46	4.27	C
CG3505	1.37	4.93	3.3	-0.41	0.12	3.97	C
CG7628	-0.04	4.38	3.61	2.41	1.94	5.17	C
CG3105	0.08	4.45	4.25	0.91	0.1	2.09	C
CG17142	0.31	5.42	4.91	0.96	0.36	5.69	C
E2F1	-1.87	-0.07	0.26	-0.11	-0.19	0.11	C
E2F2	-0.79	-1.68	0.09	-0.08	-0.19	0.37	C
DP	-0.19	-0.07	-2.47	0.29	-0.17	0.59	C
RBF1	-0.09	0.15	-0.11	-1.53	-0.04	-0.81	C
RBF2	-0.93	0.48	0.11	0.87	-1.15	-0.23	C
